date,forecast_boardings,lower_ci,upper_ci,year_month
2027-01-01,8284.939524754562,7716.381498106797,8853.497551402326,2027-01
2027-02-01,8813.853102570023,8203.62310961743,9424.083095522616,2027-02
2027-03-01,8971.753494971657,8283.5665909588,9659.940398984514,2027-03
2027-04-01,8925.128408509847,8177.293844886697,9672.962972132997,2027-04
2027-05-01,8545.430067374822,7739.492241015922,9351.36789373372,2027-05
2027-06-01,8267.281118082923,7407.931833703173,9126.630402462673,2027-06
2027-07-01,7995.626448687991,7085.783671706244,8905.469225669738,2027-07
2027-08-01,7505.564574583681,6547.945394005569,8463.183755161794,2027-08
2027-09-01,7559.142109620537,6556.003134754296,8562.281084486778,2027-09
2027-10-01,7485.362196549843,6438.679415365546,8532.04497773414,2027-10
2027-11-01,7827.339640570097,6738.8195688314845,8915.85971230871,2027-11
2027-12-01,8212.094861464237,7082.676547681626,9341.513175246848,2027-12
